GameId,Team1Id,Team2Id,ResultOfTeam1,URL,Date
1,7,8,1,http://www.nba.com/games/20140331/NYKUTA/gameinfo.html,2014-03-31
2,9,10,1,http://www.nba.com/games/20140331/MEMDEN/gameinfo.html,2014-03-31
3,11,12,1,http://www.nba.com/games/20140331/SACNOP/gameinfo.html,2014-03-31
4,13,14,1,http://www.nba.com/games/20140331/LACMIN/gameinfo.html,2014-03-31
5,15,16,-1,http://www.nba.com/games/20140331/BOSCHI/gameinfo.html,2014-03-31
6,17,18,-1,http://www.nba.com/games/20140331/TORMIA/gameinfo.html,2014-03-31
7,19,20,-1,http://www.nba.com/games/20140331/MILDET/gameinfo.html,2014-03-31
8,21,22,-1,http://www.nba.com/games/20140331/PHIATL/gameinfo.html,2014-03-31
9,23,24,-1,http://www.nba.com/games/20140331/WASCHA/gameinfo.html,2014-03-31
10,1,2,1,http://www.nba.com/games/20140401/PORLAL/gameinfo.html?ls=slt,2014-04-01
11,3,4,1,http://www.nba.com/games/20140401/GSWDAL/gameinfo.html?ls=slt,2014-04-01
12,5,6,-1,http://www.nba.com/games/20140401/HOUBKN/gameinfo.html?ls=slt,2014-04-01
13,20,25,-1,http://www.nba.com/games/20140402/DETIND/gameinfo.html,2014-04-02
14,6,7,-1,http://www.nba.com/games/20140402/BKNNYK/gameinfo.html,2014-04-02
15,26,27,1,http://www.nba.com/games/20140402/CLEORL/gameinfo.html,2014-04-02
16,21,24,-1,http://www.nba.com/games/20140402/CHAPHI/gameinfo.html,2014-04-02
17,5,17,-1,http://www.nba.com/games/20140402/HOUTOR/gameinfo.html,2014-04-02
18,15,23,-1,http://www.nba.com/games/20140402/BOSWAS/gameinfo.html,2014-04-02
19,16,22,1,http://www.nba.com/games/20140402/CHIATL/gameinfo.html,2014-04-02
20,18,19,1,http://www.nba.com/games/20140402/MILMIA/gameinfo.html,2014-04-02
21,9,14,-1,http://www.nba.com/games/20140402/MEMMIN/gameinfo.html,2014-04-02
22,3,28,-1,http://www.nba.com/games/20140402/GSWSAS/gameinfo.html,2014-04-02
23,10,12,1,http://www.nba.com/games/20140402/NOPDEN/gameinfo.html,2014-04-02
24,13,29,1,http://www.nba.com/games/20140402/LACPHX/gameinfo.html,2014-04-02
25,2,11,-1,http://www.nba.com/games/20140402/LALSAC/gameinfo.html,2014-04-02
26,28,30,-1,http://www.nba.com/games/20140403/SASOKC/gameinfo.html,2014-04-03
27,4,13,1,http://www.nba.com/games/20140403/DALLAC/gameinfo.html,2014-04-03
28,9,10,1,http://www.nba.com/games/20140404/DENMEM/gameinfo.html,2014-04-04
29,24,27,1,http://www.nba.com/games/20140404/ORLCHA/gameinfo.html,2014-04-04
30,17,25,1,http://www.nba.com/games/20140404/INDTOR/gameinfo.html,2014-04-04
